site_id,dem_tile,dem_tiles_used,slope_samples,mean_slope_deg,p90_slope_deg
OSM-1094248123,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,495,0.614,1.091
OSM-1094248124,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,515,0.665,1.179
OSM-1094248125,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,489,0.77,1.405
OSM-1094248127,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,5030,0.844,1.775
OSM-1094248129,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,403,0.594,0.908
OSM-1094248130,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,414,0.492,0.768
OSM-1094249441,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,749,0.676,1.201
OSM-1094249442,Copernicus_DSM_COG_10_S44_00_E171_00_DEM;Copernicus_DSM_COG_10_S44_00_E172_00_DEM,2,421,0.717,1.131
OSM-1094249445,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,783,0.838,1.487
OSM-1094249446,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,561,0.638,1.088
OSM-1094249447,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,581,0.638,1.074
OSM-1094249449,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,649,0.817,1.268
OSM-1094249453,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1998,0.996,1.77
OSM-1094249454,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,581,0.507,0.795
OSM-1094249455,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,676,0.803,2.042
OSM-1094249456,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,743,1.026,2.4
OSM-1094264330,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,398,1.029,2.397
OSM-1094264331,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,898,0.963,2.195
OSM-1094264334,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,441,0.841,1.481
OSM-1094264335,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,341,1.315,2.12
OSM-1094264339,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1410,0.806,1.306
OSM-1094264340,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,726,0.828,1.365
OSM-1094264343,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,455,0.971,2.299
OSM-1094264345,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,576,0.805,1.856
OSM-1094264347,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1614,0.611,1.029
OSM-1094264348,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1005,0.418,0.635
OSM-1094264349,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,5664,0.53,0.795
OSM-1094264350,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1117,0.524,0.852
OSM-1094264351,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,4473,0.695,1.117
OSM-1094264352,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,653,0.529,0.871
OSM-1094264353,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,849,0.409,0.654
OSM-1094264358,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,364,0.421,0.645
OSM-1094264360,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,358,0.594,0.986
OSM-1094264361,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,351,0.489,0.785
OSM-1094264362,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,654,1.008,0.903
OSM-1094264364,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,480,0.664,1.138
OSM-1094264365,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1472,0.467,0.711
OSM-1094264366,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1868,0.94,0.812
OSM-1094264367,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,953,0.696,0.742
OSM-1094264368,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,749,0.426,0.703
OSM-1094264369,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,1426,0.515,0.78
OSM-1094264370,Copernicus_DSM_COG_10_S44_00_E171_00_DEM,1,604,0.475,0.759
